1,1906,physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,6|5
2,1911,chemistry,in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element,6
3,2012,peace,for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe,881
4,1906,medicine,in recognition of their work on the structure of the nervous system,299
