Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
15.436585;0.769163;15.436585;16.205748;1;0.769163
17.026040;0.192625;17.026040;17.218665;1;0.192625
17.530514;0.265919;17.530514;17.796433;1;0.265919
18.721882;0.079894;18.721882;18.801776;1;0.079894
19.042397;0.087634;19.042397;19.130030;1;0.087634
19.770372;0.020530;19.770372;19.790903;1;0.020530
19.805728;0.062837;19.805728;19.868564;1;0.062837
20.099136;0.331026;20.099136;20.430162;1;0.331026
20.231737;0.440868;20.430162;20.871030;2;0.639293
20.920187;0.134444;20.920187;21.054631;1;0.134444
20.986392;0.070216;21.054631;21.124847;2;0.138455
21.027941;0.073639;21.124847;21.198487;3;0.170545
21.133037;0.185453;21.198487;21.383940;2;0.250903
21.193379;0.062338;21.383940;21.446278;3;0.252899
22.476820;0.022692;22.476820;22.499512;1;0.022692
22.484432;0.237122;22.499512;22.736634;2;0.252202
22.540509;0.026970;22.736634;22.763603;2;0.223094
23.687241;0.152571;23.687241;23.839812;1;0.152571
25.647227;0.107985;25.647227;25.755212;1;0.107985
25.840884;0.042701;25.840884;25.883585;1;0.042701
25.982924;0.564274;25.982924;26.547198;1;0.564274
26.218401;0.229757;26.547198;26.776955;2;0.558554
26.459398;0.028907;26.776955;26.805861;3;0.346463
27.298964;0.077747;27.298964;27.376712;1;0.077747
27.636127;0.128023;27.636127;27.764150;1;0.128023
27.813250;0.111302;27.813250;27.924552;1;0.111302
27.879266;0.110174;27.924552;28.034726;2;0.155460
28.201204;0.094335;28.201204;28.295540;1;0.094335
28.506764;0.044833;28.506764;28.551597;1;0.044833
29.389395;0.020599;29.389395;29.409994;1;0.020599
29.463700;0.029153;29.463700;29.492853;1;0.029153
30.936415;0.003760;30.936415;30.940174;1;0.003760
31.484297;0.277762;31.484297;31.762059;1;0.277762
32.138381;0.288906;32.138381;32.427287;1;0.288906
32.333996;0.023392;32.427287;32.450679;2;0.116683
32.717703;0.062617;32.717703;32.780320;1;0.062617
33.052220;0.059285;33.052220;33.111505;1;0.059285
33.203613;0.015258;33.203613;33.218871;1;0.015258
33.477732;0.003993;33.477732;33.481724;1;0.003993
34.026744;0.103820;34.026744;34.130564;1;0.103820
34.892751;0.243381;34.892751;35.136131;1;0.243381
34.972436;0.023253;35.136131;35.159384;2;0.186949
34.995517;0.011179;35.159384;35.170563;3;0.175047
35.982462;0.041845;35.982462;36.024307;1;0.041845
37.014296;0.611018;37.014296;37.625314;1;0.611018
40.811970;0.182813;40.811970;40.994783;1;0.182813
