Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
15.436585;1.384494;15.436585;16.821078;1;1.384494
17.026040;0.346725;17.026040;17.372765;1;0.346725
17.530514;0.478654;17.530514;18.009168;1;0.478654
18.721882;0.143809;18.721882;18.865691;1;0.143809
19.042397;0.157741;19.042397;19.200137;1;0.157741
19.770372;0.036955;19.770372;19.807327;1;0.036955
19.805728;0.113106;19.807327;19.920433;2;0.114705
20.099136;0.595846;20.099136;20.694982;1;0.595846
20.231737;0.793562;20.694982;21.488544;2;1.256807
20.920187;0.242000;21.488544;21.730545;2;0.810358
20.986392;0.126389;21.730545;21.856934;3;0.870541
21.027941;0.132550;21.856934;21.989484;4;0.961542
21.133037;0.333816;21.989484;22.323300;5;1.190263
21.193379;0.112208;22.323300;22.435508;6;1.242130
22.476820;0.040846;22.476820;22.517666;1;0.040846
22.484432;0.426819;22.517666;22.944485;2;0.460053
22.540509;0.048546;22.944485;22.993031;2;0.452522
23.687241;0.274628;23.687241;23.961869;1;0.274628
25.647227;0.194373;25.647227;25.841599;1;0.194373
25.840884;0.076861;25.841599;25.918461;2;0.077576
25.982924;1.015693;25.982924;26.998617;1;1.015693
26.218401;0.413562;26.998617;27.412179;2;1.193779
26.459398;0.052032;27.412179;27.464211;3;1.004813
27.298964;0.139945;27.464211;27.604156;3;0.305192
27.636127;0.230441;27.636127;27.866568;1;0.230441
27.813250;0.200344;27.866568;28.066912;2;0.253663
27.879266;0.198314;28.066912;28.265226;2;0.385960
28.201204;0.169804;28.265226;28.435030;2;0.233825
28.506764;0.080700;28.506764;28.587464;1;0.080700
29.389395;0.037078;29.389395;29.426473;1;0.037078
29.463700;0.052475;29.463700;29.516175;1;0.052475
30.936415;0.006767;30.936415;30.943182;1;0.006767
31.484297;0.499972;31.484297;31.984269;1;0.499972
32.138381;0.520030;32.138381;32.658412;1;0.520030
32.333996;0.042105;32.658412;32.700517;2;0.366521
32.717703;0.112710;32.717703;32.830413;1;0.112710
33.052220;0.106713;33.052220;33.158933;1;0.106713
33.203613;0.027465;33.203613;33.231077;1;0.027465
33.477732;0.007187;33.477732;33.484918;1;0.007187
34.026744;0.186877;34.026744;34.213620;1;0.186877
34.892751;0.438085;34.892751;35.330836;1;0.438085
34.972436;0.041855;35.330836;35.372691;2;0.400255
34.995517;0.020123;35.372691;35.392814;3;0.397297
35.982462;0.075321;35.982462;36.057783;1;0.075321
37.014296;1.099832;37.014296;38.114128;1;1.099832
40.811970;0.329063;40.811970;41.141033;1;0.329063
41.078523;0.196188;41.141033;41.337221;2;0.258698
42.888462;0.153245;42.888462;43.041706;1;0.153245
43.009279;0.163183;43.041706;43.204889;2;0.195610
43.631843;0.031716;43.631843;43.663560;1;0.031716
43.953097;0.063376;43.953097;44.016474;1;0.063376
44.614636;0.048801;44.614636;44.663437;1;0.048801
44.994232;0.324913;44.994232;45.319145;1;0.324913
45.396633;0.063370;45.396633;45.460003;1;0.063370
45.413881;0.055720;45.460003;45.515723;2;0.101843
45.795604;0.028090;45.795604;45.823694;1;0.028090
46.800416;0.033435;46.800416;46.833850;1;0.033435
48.806678;0.012193;48.806678;48.818871;1;0.012193
49.006856;0.044636;49.006856;49.051492;1;0.044636
49.978554;0.098708;49.978554;50.077262;1;0.098708
50.026653;0.051130;50.077262;50.128392;2;0.101738
50.529126;0.011465;50.529126;50.540591;1;0.011465
50.590311;0.161859;50.590311;50.752170;1;0.161859
51.497226;0.171219;51.497226;51.668445;1;0.171219
51.864363;0.693927;51.864363;52.558290;1;0.693927
52.112799;0.046573;52.558290;52.604863;2;0.492064
52.963311;0.128825;52.963311;53.092136;1;0.128825
53.016681;0.235019;53.092136;53.327155;2;0.310474
53.046224;0.189337;53.327155;53.516492;3;0.470268
53.082234;0.018558;53.516492;53.535050;4;0.452816
53.625005;0.125917;53.625005;53.750923;1;0.125917
53.801861;0.005884;53.801861;53.807745;1;0.005884
53.933789;0.057019;53.933789;53.990808;1;0.057019
55.132984;0.031573;55.132984;55.164556;1;0.031573
56.005485;0.784714;56.005485;56.790199;1;0.784714
56.440364;0.243229;56.790199;57.033429;2;0.593065
56.926487;0.174112;57.033429;57.207541;2;0.281054
57.915116;0.193072;57.915116;58.108188;1;0.193072
58.517470;0.772531;58.517470;59.290001;1;0.772531
59.233529;0.658777;59.290001;59.948778;2;0.715249
59.988191;0.128706;59.988191;60.116897;1;0.128706
60.340270;0.024994;60.340270;60.365264;1;0.024994
60.468471;0.566035;60.468471;61.034506;1;0.566035
61.529431;0.120369;61.529431;61.649800;1;0.120369
62.066027;0.156697;62.066027;62.222723;1;0.156697
62.331437;0.107177;62.331437;62.438615;1;0.107177
63.661589;0.039951;63.661589;63.701540;1;0.039951
64.115799;0.107064;64.115799;64.222862;1;0.107064
64.943119;0.022796;64.943119;64.965914;1;0.022796
65.810812;0.314329;65.810812;66.125141;1;0.314329
66.888983;0.367878;66.888983;67.256861;1;0.367878
66.892674;0.076671;67.256861;67.333532;2;0.440857
66.996928;0.088566;67.333532;67.422098;3;0.425171
67.552256;0.060883;67.552256;67.613139;1;0.060883
67.649362;0.065351;67.649362;67.714713;1;0.065351
67.858651;0.205012;67.858651;68.063663;1;0.205012
68.105500;0.175894;68.105500;68.281394;1;0.175894
68.207812;0.051246;68.281394;68.332639;2;0.124828
68.854559;0.621368;68.854559;69.475927;1;0.621368
69.109105;0.133071;69.475927;69.608998;2;0.499893
69.339952;0.341970;69.608998;69.950968;3;0.611016
69.979119;0.158598;69.979119;70.137717;1;0.158598
70.199935;0.059457;70.199935;70.259393;1;0.059457
70.641297;0.096236;70.641297;70.737533;1;0.096236
70.881696;0.031463;70.881696;70.913159;1;0.031463
71.735064;0.235578;71.735064;71.970642;1;0.235578
73.614110;0.938102;73.614110;74.552213;1;0.938102
73.638993;0.001858;74.552213;74.554070;2;0.915078
74.431512;0.100805;74.554070;74.654876;3;0.223364
74.464767;0.116118;74.654876;74.770994;4;0.306227
74.766543;0.164593;74.770994;74.935587;2;0.169044
