Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
7.718292;1.153745;7.718292;8.872037;1;1.153745
8.513020;0.288938;8.872037;9.160975;2;0.647955
8.765257;0.398878;9.160975;9.559853;3;0.794596
9.360941;0.119841;9.559853;9.679694;2;0.318753
9.521198;0.131451;9.679694;9.811145;3;0.289946
9.885186;0.030796;9.885186;9.915982;1;0.030796
9.902864;0.094255;9.915982;10.010237;2;0.107373
10.049568;0.496538;10.049568;10.546107;1;0.496538
10.115869;0.661302;10.546107;11.207408;2;1.091540
10.460093;0.201667;11.207408;11.409075;3;0.948982
10.493196;0.105324;11.409075;11.514399;4;1.021203
10.513971;0.110459;11.514399;11.624858;5;1.110887
10.566518;0.278180;11.624858;11.903038;5;1.336519
10.596689;0.093507;11.903038;11.996545;6;1.399856
11.238410;0.034039;11.996545;12.030583;6;0.792174
11.242216;0.355682;12.030583;12.386266;7;1.144050
11.270255;0.040455;12.386266;12.426721;8;1.156466
11.843621;0.228856;12.426721;12.655577;6;0.811957
12.823613;0.161977;12.823613;12.985591;1;0.161977
12.920442;0.064051;12.985591;13.049642;2;0.129199
12.991462;0.846411;13.049642;13.896053;2;0.904591
13.109200;0.344635;13.896053;14.240688;2;1.131487
13.229699;0.043360;14.240688;14.284048;3;1.054348
13.649482;0.116621;14.284048;14.400669;4;0.751186
13.818063;0.192034;14.400669;14.592703;5;0.774640
13.906625;0.166954;14.592703;14.759657;5;0.853032
13.939633;0.165261;14.759657;14.924918;6;0.985285
14.100602;0.141503;14.924918;15.066421;7;0.965819
14.253382;0.067250;15.066421;15.133671;7;0.880289
14.694698;0.030899;15.133671;15.164569;5;0.469872
14.731850;0.043729;15.164569;15.208299;6;0.476449
15.468207;0.005639;15.468207;15.473847;1;0.005639
15.742149;0.416643;15.742149;16.158792;1;0.416643
16.069191;0.433358;16.158792;16.592150;2;0.522960
16.166998;0.035088;16.592150;16.627238;2;0.460240
16.358852;0.093925;16.627238;16.721163;3;0.362311
16.526110;0.088927;16.721163;16.810090;4;0.283980
16.601806;0.022887;16.810090;16.832977;4;0.231171
16.738866;0.005989;16.832977;16.838966;3;0.100101
