Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
5.145528;1.153745;5.145528;6.299273;1;1.153745
5.675347;0.288938;6.299273;6.588211;2;0.912864
5.843505;0.398878;6.588211;6.987089;3;1.143584
6.240627;0.119841;6.987089;7.106930;4;0.866302
6.347466;0.131451;7.106930;7.238380;4;0.890915
6.590124;0.030796;7.238380;7.269176;4;0.679052
6.601909;0.094255;7.269176;7.363431;5;0.761522
6.699712;0.496538;7.363431;7.859969;6;1.160257
6.743912;0.661302;7.859969;8.521271;7;1.777359
6.973396;0.201667;8.521271;8.722938;8;1.749542
6.995464;0.105324;8.722938;8.828262;8;1.832798
7.009314;0.110459;8.828262;8.938721;9;1.929407
7.044346;0.278180;8.938721;9.216901;10;2.172555
7.064460;0.093507;9.216901;9.310408;11;2.245948
7.492273;0.034039;9.310408;9.344446;8;1.852173
7.494811;0.355682;9.344446;9.700129;9;2.205318
7.513503;0.040455;9.700129;9.740584;10;2.227081
7.895747;0.228856;9.740584;9.969440;10;2.073693
8.549076;0.161977;9.969440;10.131417;10;1.582342
8.613628;0.064051;10.131417;10.195468;11;1.581840
8.660975;0.846411;10.195468;11.041879;12;2.380905
8.739467;0.344635;11.041879;11.386514;12;2.647048
8.819799;0.043360;11.386514;11.429874;13;2.610075
9.099655;0.116621;11.429874;11.546495;12;2.446840
9.212042;0.192034;11.546495;11.738530;13;2.526487
9.271083;0.166954;11.738530;11.905483;13;2.634400
9.293089;0.165261;11.905483;12.070745;14;2.777656
9.400401;0.141503;12.070745;12.212248;13;2.811846
9.502255;0.067250;12.212248;12.279498;14;2.777243
9.796465;0.030899;12.279498;12.310396;13;2.513931
9.821233;0.043729;12.310396;12.354126;14;2.532892
10.312138;0.005639;12.354126;12.359765;12;2.047627
10.494766;0.416643;12.359765;12.776408;13;2.281642
10.712794;0.433358;12.776408;13.209767;14;2.496973
10.777999;0.035088;13.209767;13.244854;15;2.466856
10.905901;0.093925;13.244854;13.338779;16;2.432878
11.017407;0.088927;13.338779;13.427707;17;2.410300
11.067871;0.022887;13.427707;13.450594;17;2.382723
11.159244;0.005989;13.450594;13.456583;18;2.297339
11.342248;0.155731;13.456583;13.612313;19;2.270065
11.630917;0.365071;13.612313;13.977385;17;2.346468
11.657479;0.034879;13.977385;14.012264;18;2.354785
11.665172;0.016769;14.012264;14.029033;19;2.363860
11.994154;0.062767;14.029033;14.091800;18;2.097646
12.338099;0.916527;14.091800;15.008327;15;2.670228
13.603990;0.274219;15.008327;15.282546;7;1.678556
13.692841;0.163490;15.282546;15.446036;7;1.753195
14.296154;0.127704;15.446036;15.573739;4;1.277585
14.336426;0.135986;15.573739;15.709725;5;1.373299
14.543948;0.026430;15.709725;15.736155;6;1.192208
14.651032;0.052814;15.736155;15.788969;7;1.137937
14.871545;0.040667;15.788969;15.829637;8;0.958091
14.998077;0.270761;15.829637;16.100397;9;1.102320
15.132211;0.052808;16.100397;16.153206;9;1.020995
15.137960;0.046434;16.153206;16.199640;10;1.061679
15.265201;0.023408;16.199640;16.223048;11;0.957847
15.600139;0.027862;16.223048;16.250910;9;0.650772
16.268893;0.010161;16.268893;16.279054;1;0.010161
16.335619;0.037197;16.335619;16.372815;1;0.037197
16.659518;0.082257;16.659518;16.741775;1;0.082257
16.675551;0.042608;16.741775;16.784383;2;0.108832
16.843042;0.009554;16.843042;16.852596;1;0.009554
16.863437;0.134883;16.863437;16.998320;1;0.134883
17.165742;0.142683;17.165742;17.308425;1;0.142683
17.288121;0.578273;17.308425;17.886698;2;0.598577
17.370933;0.038811;17.886698;17.925508;2;0.554575
17.654437;0.107354;17.925508;18.032863;3;0.378426
17.672227;0.195849;18.032863;18.228712;4;0.556485
17.682075;0.157781;18.228712;18.386493;5;0.704418
17.694078;0.015465;18.386493;18.401958;6;0.707880
17.875002;0.104931;18.401958;18.506889;7;0.631887
17.933954;0.004903;18.506889;18.511792;6;0.577838
17.977930;0.047516;18.511792;18.559308;7;0.581378
18.377661;0.026311;18.559308;18.585618;6;0.207957
18.668495;0.653928;18.668495;19.322424;1;0.653928
18.813455;0.202691;19.322424;19.525115;2;0.711660
18.975496;0.145094;19.525115;19.670208;3;0.694713
19.305039;0.160893;19.670208;19.831101;4;0.526063
19.505823;0.643776;19.831101;20.474877;4;0.969054
19.744510;0.548981;20.474877;21.023858;3;1.279349
19.996064;0.107255;21.023858;21.131113;3;1.135049
20.113423;0.020829;21.131113;21.151942;4;1.038519
20.156157;0.471696;21.151942;21.623638;5;1.467481
20.509810;0.100307;21.623638;21.723945;5;1.214135
20.688676;0.130581;21.723945;21.854525;6;1.165850
20.777146;0.089315;21.854525;21.943840;7;1.166694
21.220530;0.033292;21.943840;21.977133;5;0.756603
21.371933;0.089220;21.977133;22.066352;6;0.694419
21.647706;0.018996;22.066352;22.085349;6;0.437642
21.936937;0.261941;22.085349;22.347289;5;0.410352
22.296328;0.306565;22.347289;22.653854;2;0.357526
22.297558;0.063893;22.653854;22.717746;3;0.420188
22.332309;0.073805;22.717746;22.791552;4;0.459243
22.517419;0.050736;22.791552;22.842288;4;0.324869
22.549787;0.054459;22.842288;22.896747;5;0.346959
22.619550;0.170844;22.896747;23.067590;6;0.448040
22.701833;0.146578;23.067590;23.214168;6;0.512335
22.735937;0.042705;23.214168;23.256873;6;0.520936
22.951520;0.517807;23.256873;23.774680;4;0.823161
23.036368;0.110892;23.774680;23.885573;5;0.849204
23.113317;0.284975;23.885573;24.170547;5;1.057230
23.326373;0.132165;24.170547;24.302713;4;0.976339
23.399978;0.049548;24.302713;24.352260;5;0.952282
23.547099;0.080197;24.352260;24.432457;6;0.885358
23.627232;0.026219;24.432457;24.458676;7;0.831444
23.911688;0.196315;24.458676;24.654991;6;0.743303
24.538037;0.781752;24.654991;25.436743;2;0.898706
24.546331;0.001548;25.436743;25.438291;3;0.891960
24.810504;0.084004;25.438291;25.522295;3;0.711792
24.821589;0.096765;25.522295;25.619061;4;0.797472
24.922181;0.137161;25.619061;25.756221;5;0.834040
25.055357;0.196924;25.756221;25.953145;6;0.897788
25.322920;0.255568;25.953145;26.208713;7;0.885792
25.822557;0.260457;26.208713;26.469169;3;0.646612
25.914915;0.014838;26.469169;26.484007;4;0.569092
26.061249;0.070734;26.484007;26.554741;4;0.493492
26.233527;0.088873;26.554741;26.643614;4;0.410087
26.389632;0.564302;26.643614;27.207916;5;0.818284
26.598542;0.398380;27.207916;27.606296;3;1.007754
26.733719;0.012825;27.606296;27.619121;3;0.885402
26.747384;0.083499;27.619121;27.702620;4;0.955237
26.772299;0.703123;27.702620;28.405744;5;1.633445
26.834942;0.028155;28.405744;28.433899;6;1.598957
27.175431;0.469860;28.433899;28.903758;7;1.728327
27.898311;0.156440;28.903758;29.060199;4;1.161888
27.922351;0.699314;29.060199;29.759513;5;1.837162
27.935473;0.020038;29.759513;29.779551;6;1.844078
28.004204;0.070543;29.779551;29.850094;7;1.845890
28.432964;0.395900;29.850094;30.245994;7;1.813030
29.387705;0.106863;30.245994;30.352858;5;0.965153
29.427044;0.070770;30.352858;30.423627;6;0.996584
29.527932;0.037527;30.423627;30.461154;7;0.933222
29.581127;0.228854;30.461154;30.690008;8;1.108881
29.808715;0.329656;30.690008;31.019664;7;1.210949
29.930022;0.126695;31.019664;31.146359;7;1.216337
30.312333;0.114126;31.146359;31.260485;7;0.948152
30.337782;0.766735;31.260485;32.027220;8;1.689438
30.370538;0.006056;32.027220;32.033275;8;1.662737
31.027109;0.012163;32.033275;32.045439;5;1.018330
31.487666;0.545194;32.045439;32.590633;4;1.102966
31.764229;0.214158;32.590633;32.804790;5;1.040561
31.898312;0.071956;32.804790;32.876746;6;0.978434
32.213255;0.119862;32.876746;32.996608;4;0.783353
32.285140;0.104473;32.996608;33.101081;5;0.815941
32.456902;0.155185;33.101081;33.256265;6;0.799363
32.511192;0.053666;33.256265;33.309931;7;0.798739
32.708477;0.373142;33.309931;33.683073;7;0.974596
32.724053;0.049979;33.683073;33.733052;8;1.008999
32.962561;0.071453;33.733052;33.804505;7;0.841944
33.128987;0.607117;33.804505;34.411622;6;1.282635
