      2 42
      1 46
      3 54
    112 60
      3 62
    236 66
      3 68
     12 70
      1 73
     34 74
      1 75
      5 76
      5 77
     56 78
      1 81
      5 82
      1 83
      1 84
     59 86
     40 87
      2 88
     14 90
     71 92
      3 93
      8 94
     80 98
      1 99
      1 100
      7 103
      3 106
      2 108
      1 113
      1 115
     40 119
      4 124
      6 125
      2 130
      4 134
      3 142
      4 144
      6 145
     11 146
      4 147
     10 148
      1 149
     14 150
      2 151
      4 152
      2 153
      4 154
      1 157
      4 158
      2 159
      5 160
      1 161
      3 162
      6 165
      2 167
      9 168
      8 171
      2 173
      4 175
     12 178
      3 179
     15 181
      2 182
      1 195
      1 198
      1 201
      5 204
     13 208
     10 216
      1 220
      1 226
      2 231
      1 233
      4 237
      4 239
      1 242
      5 243
      3 244
      2 245
      1 246
      7 247
      2 249
      1 250
      1 253
      1 255
      1 257
      2 264
      9 266
      1 271
      4 277
      2 281
      1 318
      1 327
      1 353
      1 361
      1 373
      1 408
      1 413
      1 423
      2 429
      1 435
      6 437
      1 446
      1 447
      1 448
      1 449
      1 450
      2 451
      3 455
      1 458
      1 459
      1 470
      1 474
      4 475
      1 501
      3 505
      3 514
      1 535
      3 557
      2 565
      3 569
      3 571
      3 585
     18 590
      1 614
      1 655
      1 663
      2 700
      1 703
      2 714
      1 727
      2 738
      1 781
      1 907
      1 919
      1 935
      1 946
      2 951
      1 958
      2 967
      1 1026
      1 1281
      1 1282
      2 1343
      2 1387
      1 1413
     11 1502
    163 1514
